station_id,name,lon,lat,elev_m,tzname,state
NEN,Jacksonville - Whitehouse,-81.8669894,30.349495,25.753742,America/New_York,FL
K70,Key Largo - Ocean Reef,-80.275729,25.3243171,1.0,America/New_York,FL
42J,Keystone Heights,-82.0475,29.8448,60.0,America/New_York,FL
EYW,Key West,-81.7595556,24.5561111,1.0,America/New_York,FL
NQX,KEY WEST NAS,-81.68883,24.5757,2.0,America/New_York,FL
ISM,KISSIMMEE MUNI AIRPORT/ORLANDO,-81.44,28.29,25.0,America/New_York,FL
LCQ,Lake City,-82.5769,30.1821,57.0,America/New_York,FL
LAL,LAKELAND REGIONAL,-82.01856,27.98892,43.0,America/New_York,FL
X07,Lake Wales,-81.6167,27.8934,37.080635,America/New_York,FL
LNA,Lantana,-80.0848,26.5925,8.123995,America/New_York,FL
LEE,LEESBURG MUNICIPAL AIRPORT,-81.81,28.82,24.0,America/New_York,FL
24J,Live Oak,-83.0247,30.3001,35.94818,America/New_York,FL
MCF,MACDILL AFB/TAMPA,-82.52,27.85,4.0,America/New_York,FL
AGR,MacGill AFB,-81.3415,27.64785,20.0,America/New_York,FL
MTH,Marathon,-81.05136,24.72619,2.0,America/New_York,FL
MKY,Marco Island,-81.6725,25.995,4.515613,America/New_York,FL
MAI,MARIANA,-85.18389,30.83556,34.0,America/Chicago,FL
NRB,MAYPORT NS,-81.42452,30.39137,5.0,America/New_York,FL
MLB,MELBOURNE REGIONAL,-80.64526,28.10275,11.0,America/New_York,FL
COI,Merritt Island,-80.68548,28.3415997,1.0,America/New_York,FL
MBF,Miami Beach,-80.13333,25.76667,2.0,America/New_York,FL
MIA,MIAMI INTL AIRPORT,-80.31693,25.78805,4.0,America/New_York,FL
TMB,MIAMI/KENDALL-TAMIA,-80.43467,25.64227,3.0,America/New_York,FL
OPF,MIAMI/OPA LOCKA,-80.28283,25.91017,3.0,America/New_York,FL
NDZ,Milton,-87.02306,30.70444,54.0,America/Chicago,FL
APF,NAPLES MUNICIPAL,-81.77528,26.1525,3.0,America/New_York,FL
TTS,NASA SHUTTLE FCLTY,-80.69437,28.61489,3.0,America/New_York,FL
EVB,NEW SMYRNA BEACH MUNI,-80.94892,29.05569,3.0,America/New_York,FL
OCF,Ocala,-82.22100097,29.16363228,28.281782,America/New_York,FL
OCR,Ocean Reef,-80.26667,25.3,-4.0,America/New_York,FL
OBE,Okeechobee,-80.8497831,27.2628231,10.4,America/New_York,FL
ORL,ORLANDO/HERNDON,-81.33294,28.54546,34.0,America/New_York,FL
MCO,Orlando International,-81.30899,28.42939,32.0,America/New_York,FL
OMN,ORMOND BEACH MUNI,-81.11361,29.30056,9.0,America/New_York,FL
28J,Palatka,-81.6889,29.6586,9.363473,America/New_York,FL
XFL,Palm Coast,-81.2063333,29.4673889,10.0,America/New_York,FL
ECP,Panama City,-85.7956,30.3582,69.0,America/Chicago,FL
PFN,PANAMA CITY/BAY CO.,-85.68281,30.21208,6.0,America/Chicago,FL
TDR,Panama City Beach - Drone Runway,-85.5765,30.07,3.8308954,America/Chicago,FL
COF,PATRICK AFB/COCOA B,-80.60999,28.23496,3.0,America/New_York,FL
NPA,PENSACOLA NAS,-87.31797,30.35327,9.0,America/Chicago,FL
PNS,PENSACOLA REGIONAL,-87.18694,30.47806,37.0,America/Chicago,FL
FPY,Perry,-83.581543,30.070812,18.982101,America/New_York,FL
PCM,Plant City,-82.1642417,28.0002167,46.9,America/New_York,FL
PMP,POMPANO BEACH,-80.11103,26.24636,7.0,America/New_York,FL
PGD,PUNTA GORDA,-81.99139,26.91722,8.0,America/New_York,FL
2J9,Quincy,-84.557425,30.5978708,69.0,America/New_York,FL
PIE,SAINT PETERSBURG,-82.68742,27.91,3.0,America/New_York,FL
SFB,SANFORD/ORLANDO,-81.24361,28.77972,17.0,America/New_York,FL
SRQ,SARASOTA-BRADENTON,-82.55861,27.40139,9.0,America/New_York,FL
SEF,Sebring,-81.3416,27.4547,17.05809,America/New_York,FL
SGJ,ST AUGUSTINE AIRPT,-81.33972,29.95925,3.0,America/New_York,FL
SPG,St Petersburg,-82.62697,27.76511,1.0,America/New_York,FL
TLH,TALLAHASSEE RGNL,-84.35135,30.39354,21.0,America/New_York,FL
TPA,TAMPA INTL AIRPORT,-82.5403,27.9619,3.0,America/New_York,FL
TPF,Tampa/Knight,-82.4492608,27.9155783,2.4,America/New_York,FL
VVG,The VIllages,-81.96981093,28.94463746,26.941813,America/New_York,FL
X21,Titusville,-80.835409,28.6225517,9.0,America/New_York,FL
TIX,TITUSVILLE,-80.79923,28.5148,11.0,America/New_York,FL
1J0,Tri County,-85.6014,30.8458,26.0,America/Chicago,FL
BCR,Tri-County,-85.601666666667,30.843833333333,25.649832,America/Chicago,FL
PAM,TYNDALL AFB,-85.57542,30.06957,5.0,America/Chicago,FL
X59,Valkaria,-80.558,27.9608,7.0,America/New_York,FL
X26,Valkaria AFS,-80.4959,27.8126,9.411048,America/New_York,FL
VDF,VANDENBERG AIRPORT/TAMPA,-82.34528,28.01397,7.0,America/New_York,FL
VNC,Venice,-82.4403,27.0716,6.0,America/New_York,FL
VRB,Vero Beach,-80.41794,27.65556,8.0,America/New_York,FL
F45,West Palm Beach,-80.2223333,26.8459167,8.885464,America/New_York,FL
PBI,WEST PALM BEACH,-80.0994,26.6847,6.0,America/New_York,FL
NSE,WHITING FLD NAS-N.,-87.0219,30.7242,61.0,America/Chicago,FL
X60,Williston,-82.4719,29.3557,25.33709,America/New_York,FL
GIF,WINTER HAVEN (ASOS),-81.75331,28.06292,44.0,America/New_York,FL
SUA,WITHAM FIELD AIRPORT/STUART,-80.22,27.18,6.0,America/New_York,FL
ZPH,Zephyrville,-82.155925,28.2281357,29.102571,America/New_York,FL
ABY,ALBANY MUNICIPAL,-84.19447,31.53552,59.0,America/New_York,GA
AMG,ALMA/BACON CO.,-82.50656,31.53606,61.0,America/New_York,GA
ACJ,Americus,-84.1888611,32.1108056,143.0,America/New_York,GA
AHN,ATHENS MUNICIPAL,-83.32635,33.9486,247.0,America/New_York,GA
PDK,ATLANTA/DEKALB,-84.30197,33.87561,305.0,America/New_York,GA
FTY,ATLANTA/FULTON CO.,-84.52,33.78,256.0,America/New_York,GA
ATL,ATLANTA INTL ARPT,-84.4418,33.6301,315.0,America/New_York,GA
DNL,Augusta,-82.03847627,33.46682095,125.0,America/New_York,GA
AGS,AUGUSTA/BUSH FIELD,-81.9645,33.36994,45.0,America/New_York,GA
BGE,BAINBRIDGE/DECATUR COUNTY INDUS,-84.63693,30.9716,43.0,America/New_York,GA
BHC,Baxley,-82.3938,31.7138,64.042046,America/New_York,GA
DZJ,Blairsville,-83.997325,34.8544264,582.0,America/New_York,GA
BIJ,BLAKELY,-84.8948,31.39751,65.0,America/New_York,GA
BQK,BRUNSWICK/GLYNCO,-81.4665,31.25881,8.0,America/New_York,GA
SSI,BRUNSWICK/MALCOLM,-81.39083,31.15222,6.0,America/New_York,GA
6A1,Butler,-84.2507,32.5674,203.0,America/New_York,GA
CZL,Calhoun,-84.9392,34.4554,193.82632,America/New_York,GA
CXU,Camilla,-84.2352,31.2132,51.806652,America/New_York,GA
18A,Canon,-83.1308,34.3404,258.54953,America/New_York,GA
47A,CANTON/CHEROKEE_CNTY_ARPT,-84.42389,34.31056,372.0,America/New_York,GA
CTJ,Carrollton,-85.1522641,33.6316964,353.9,America/New_York,GA
VPC,CARTERSVILLE AIRPORT,-84.84871,34.12315,233.0,America/New_York,GA
CNI,Cherokee County,-84.4239,34.3106,372.0,America/New_York,GA
CWV,Claxton,-81.8695556,32.1950556,34.0,America/New_York,GA
48A,Cochran,-83.2759,32.3994,100.19532,America/New_York,GA
CSG,COLUMBUS METRO ARPT,-84.94222,32.51611,121.0,America/New_York,GA
CKF,Cordele,-83.7739167,31.9888333,93.437004,America/New_York,GA
AJR,Cornelia,-83.5567,34.4998,434.79443,America/New_York,GA
CVC,Covington,-83.8474,33.6323,238.558,America/New_York,GA
9A1,Covington,-83.8496,33.6325,242.0,America/New_York,GA
PUJ,Dallas,-84.9406194,33.912043,393.0,America/New_York,GA
DNN,DALTON MUNI AIRPORT,-84.87,34.72,216.0,America/New_York,GA
16J,Dawson,-84.41929,31.7432881,96.0,America/New_York,GA
MGE,DOBBINS AFB/MARIETT,-84.51633,33.91533,326.0,America/New_York,GA
17J,Donalsonville,-84.8776,31.007,47.24814,America/New_York,GA
DQH,DOUGLAS_MUNI_ARPT,-82.86056,31.47667,78.0,America/New_York,GA
DBN,Dublin,-82.9852778,32.5644167,94.0,America/New_York,GA
EZM,Eastman,-83.1287,32.2164,93.0,America/New_York,GA
EBA,Elberton,-82.8175,34.0954,180.63292,America/New_York,GA
49A,Ellijay,-84.5271,34.6301,444.8425,America/New_York,GA
FZG,Fitzgerald,-83.2709,31.6839,104.145485,America/New_York,GA
LSF,FORT BENNING,-84.9913333,32.3373333,71.0,America/New_York,GA
LHW,FT STEWART/WRIGHT,-81.56233,31.8891,14.0,America/New_York,GA
GVL,GAINSVILLE,-83.83028,34.27194,38.0,America/New_York,GA
CPP,Greensboro,-83.1382,33.59797,215.0,America/New_York,GA
3J7,Greensboro,-83.139,33.5977,206.0,America/New_York,GA
HMP,Hampton,-84.3310333,33.3899056,256.7249,America/New_York,GA
4A7,Hampton,-84.3324,33.3891,257.57394,America/New_York,GA
AZE,Hazlehurst,-82.6474,31.8847,79.09521,America/New_York,GA
HOE,Homerville,-82.7741389,31.0559167,56.7,America/New_York,GA
SVN,HUNTER (AAF),-81.14599,32.01002,13.0,America/New_York,GA
